 ,Lower Nykach4,Pap Onditi <5,>5,All,,,,,,,,,,,,,,,,Jan-11
Jan-09,1030,85,64,149,,,,,,,,,,,,,,,,Feb
Feb,,56,45,101,,,,,,,,,,,,,,,,Mar
Mar,,39,66,105,,,,,,,,,,,,,,,,Apr
Apr,,26,47,73,,,,,,,,,,,,,,,,May
May,,25,22,47,,,,,,,,,,,,,,,,Jun
Jun,,19,87,106,,,,,,,,,,,,,,,,Jul
Jul,,35,52,87,,,,,,,,,,,,,,,,Aug
Aug,,46,51,97,,,,,,,,,,,,,,,,Sep
Sep,,25,47,72,,,,,,,,,,,,,,,,Oct
Oct,,27,34,61,,,,,,,,,,,,,,,,Nov
Nov,,25,22,47,,,,,,,,,,,,,,,,Dec
Dec,,43,42,85,,,,,,,,,,,,,,,,
Jan-10,1530,92,77,169,,,,,,,,,,,,,,,,
Feb,,203,175,378,,,,,,,,,,,,,,,,
Mar,,64,49,113,,,,,,,,,,,,,,,,
Apr,,46,99,145,,,,,,,,,,,,,,,,
May,,32,89,121,,,,,,,,,,,,,,,,
Jun,,41,73,114,,,,,,,,,,,,,,,,
Jul,,10,99,109,,,,,,,,,,,,,,,,
Aug,,49,38,87,,,,,,,,,,,,,,,,
Sep,,35,57,92,,,,,,,,,,,,,,,,
Oct,,33,28,61,,,,,,,,,,,,,,,,
Nov,,37,25,62,,,,,,,,,,,,,,,,
Dec,,39,40,79,,,,,,,,,,,,,,,,
Jan-11,446,250,176,426,,,,,,,,,,,,,,,,
Feb,,255,171,426,,,,,,,,,,,,,,,,
Mar,,156,115,271,,,,,,,,,,,,,,,,
Apr,,137,83,220,,,,,,,,,,,,,,,,
May,,142,70,212,,,,,,,,,,,,,,,,
Jun,,231,124,355,,,,,,,,,,,,,,,,
Jul,,117,108,225,,,,,,,,,,,,,,,,
Aug,,110,60,170,,,,,,,,,,,,,,,,
Sep,,134,73,207,,,,,,,,,,,,,,,,
Oct,,130,86,216,,,,,,,,,,,,,,,,
Nov,,97,60,157,,,,,,,,,,,,,,,,
Dec,,76,48,124,,,,,,,,,,,,,,,,
Jan-12,171,25,4,29,,,,,,,,,,,,,,,,
Feb,,26,17,43,,,,,,,,,,,,,,,,
Mar,,17,2,19,,,,,,,,,,,,,,,,
Apr,,14,20,34,,,,,,,,,,,,,,,,
May,,0,2,2,,,,,,,,,,,,,,,,
Jun,,1,1,2,,,,,,,,,,,,,,,,
Jul,,0,0,0,,,,,,,,,,,,,,,,
Aug,,1,0,1,,,,,,,,,,,,,,,,
Sep,,0,0,0,,,,,,,,,,,,,,,,
Oct,,0,1,1,,,,,,,,,,,,,,,,
Nov,,15,11,26,,,,,,,,,,,,,,,,
Dec,,11,3,14,,,,,,,,,,,,,,,,
Jan-13,,18,39,57,,,,,,,,,,,,,,,,
Feb,,18,31,49,,,,,,,,,,,,,,,,
Mar,,19,25,44,,,,,,,,,,,,,,,,
Apr,,3,17,20,,,,,,,,,,,,,,,,
May,,6,16,22,,,,,,,,,,,,,,,,
Jun,,7,56,63,,,,,,,,,,,,,,,,
Jul,,8,10,18,,,,,,,,,,,,,,,,
Aug,,8,7,15,,,,,,,,,,,,,,,,
Sep,,13,8,21,,,,,,,,,,,,,,,,
Oct,,10,25,35,,,,,,,,,,,,,,,,
Nov,,7,4,11,,,,,,,,,,,,,,,,
Dec,,2,7,9,,,,,,,,,,,,,,,,
Jan-14,,0,5,5,,,,,,,,,,,,,,,,
Feb,,2,7,9,,,,,,,,,,,,,,,,
Mar,,7,18,25,,,,,,,,,,,,,,,,
Apr,,4,29,33,,,,,,,,,,,,,,,,
May,,1,79,80,,,,,,,,,,,,,,,,
Jun,,4,90,94,,,,,,,,,,,,,,,,
Jul,,0,43,43,,,,,,,,,,,,,,,,
Aug,,2,13,15,,,,,,,,,,,,,,,,
Sep,,1,0,1,,,,,,,,,,,,,,,,
Oct,,5,32,37,,,,,,,,,,,,,,,,
Nov,,2,21,23,,,,,,,,,,,,,,,,
Dec,,3,20,23,,,,,,,,,,,,,,,,
Jan-15,,4,13,17,,,,,,,,,,,,,,,,
Feb,,3,22,25,,,,,,,,,,,,,,,,
Mar,,9,12,21,,,,,,,,,,,,,,,,
Apr,,7,50,57,,,,,,,,,,,,,,,,
May,,12,73,85,,,,,,,,,,,,,,,,
Jun,,13,42,55,,,,,,,,,,,,,,,,
Jul,,2,51,53,,,,,,,,,,,,,,,,
Aug,,1,33,34,,,,,,,,,,,,,,,,
Sep,,3,33,36,,,,,,,,,,,,,,,,
Oct,,2,32,34,,,,,,,,,,,,,,,,
Nov,,2,20,22,,,,,,,,,,,,,,,,
Dec,,7,24,31,,,,,,,,,,,,,,,,
Jan-16,,3,43,46,,,,,,,,,,,,,,,,
Feb,,11,66,77,,,,,,,,,,,,,,,,
Mar,,11,52,63,,,,,,,,,,,,,,,,
Apr,,2,36,38,,,,,,,,,,,,,,,,
May,,9,40,49,,,,,,,,,,,,,,,,
Jun,,10,56,66,,,,,,,,,,,,,,,,
Jul,,9,55,64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
