,<5,>5,Total
12-Jan,39,25,64
Feb,50,23,73
Mar,18,8,26
Apr,13,3,16
May,5,9,14
Jun,25,13,38
Jul,27,24,51
Aug,32,18,50
Sep,18,9,37
Oct,23,18,41
Nov,37,20,57
Dec,34,16,50
13-Jan,47,22,69
Feb,20,27,47
Mar,17,17,34
Apr,10,12,22
May,20,15,35
Jun,29,20,49
Jul,35,30,65
Aug,50,42,92
Sep,50,80,130
Oct,33,5,38
Nov,55,47,102
Dec,16,24,40
14-Jan,62,50,112
Feb,82,48,130
Mar,45,35,80
Apr,26,15,41
May,40,29,69
Jun,24,34,58
Jul,56,30,86
Aug,26,23,49
Sep,33,17,50
Oct,39,30,69
Nov,32,0,32
Dec,48,24,72
,14,33,57
,36,30,66
,20,21,41
,,,
,,,
Rae Dispensary,,,
